airline,flightnumber,departureairport,arrivalairport,origindate,operationtime,departureorarrival,aircraftterminal,status,aircrafttype,hour,weekday,month,date
IB,930,ALG,MAD,2024-12-04,2024-12-04 19:05:00+00:00,DEPARTURE,4,SCT,320,19,Wednesday,December,2024-12-04
SF,2382,ALG,CBH,2024-12-04,2024-12-04 19:00:00+00:00,DEPARTURE,1,SCT,DH4,19,Wednesday,December,2024-12-04
AH,1024,ALG,MRS,2024-12-05,2024-12-05 16:45:00+00:00,DEPARTURE,4,SCT,73H,16,Thursday,December,2024-12-05
AH,3017,IST,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,738,18,Tuesday,December,2024-12-03
AH,5322,ALG,OUA,2024-12-04,2024-12-04 20:55:00+00:00,DEPARTURE,4,SCT,736,20,Wednesday,December,2024-12-04
VY,7990,ALG,MRS,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,4,SCT,320,11,Wednesday,December,2024-12-04
AH,1216,ALG,ETZ,2024-12-04,2024-12-04 10:00:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
SF,1975,BJA,ALG,2024-12-05,2024-12-05 16:05:00+00:00,ARRIVAL,1,SCT,738,16,Thursday,December,2024-12-05
AH,1002,ALG,CDG,2024-12-04,2024-12-04 07:15:00+00:00,DEPARTURE,4,OFB,738,7,Wednesday,December,2024-12-04
5O,531,CDG,ALG,2024-12-05,2024-12-05 17:55:00+00:00,ARRIVAL,4,SCT,73H,17,Thursday,December,2024-12-05
AF,1655,ALG,CDG,2024-12-03,2024-12-03 19:15:00+00:00,DEPARTURE,4,SCT,223,19,Tuesday,December,2024-12-03
AH,6100,ALG,ORN,2024-12-04,2024-12-04 08:10:00+00:00,DEPARTURE,1,SCT,AT7,8,Wednesday,December,2024-12-04
AH,5010,ALG,DSS,2024-12-04,2024-12-04 20:10:00+00:00,DEPARTURE,4,SCT,738,20,Wednesday,December,2024-12-04
SF,1874,ALG,ORN,2024-12-04,2024-12-04 08:30:00+00:00,DEPARTURE,1,SCT,738,8,Wednesday,December,2024-12-04
AH,6015,CZL,ALG,2024-12-04,2024-12-04 22:50:00+00:00,ARRIVAL,1,SCT,738,22,Wednesday,December,2024-12-04
AH,1020,ALG,MRS,2024-12-04,2024-12-04 13:20:00+00:00,DEPARTURE,4,SCT,738,13,Wednesday,December,2024-12-04
AH,2027,MXP,ALG,2024-12-04,2024-12-04 15:15:00+00:00,ARRIVAL,4,SCT,738,15,Wednesday,December,2024-12-04
AH,6039,BLJ,ALG,2024-12-03,2024-12-03 18:59:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
AH,2026,ALG,MXP,2024-12-04,2024-12-04 10:35:00+00:00,DEPARTURE,4,OFB,738,10,Wednesday,December,2024-12-04
AH,3016,ALG,IST,2024-12-04,2024-12-04 09:40:00+00:00,DEPARTURE,4,BST,738,9,Wednesday,December,2024-12-04
AH,6252,ALG,ELU,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,1,SCT,736,8,Wednesday,December,2024-12-04
AH,6176,ALG,AAE,2024-12-04,2024-12-04 11:30:00+00:00,DEPARTURE,1,BST,AT7,11,Wednesday,December,2024-12-04
AH,6236,TMR,ALG,2024-12-04,2024-12-04 04:45:00+00:00,ARRIVAL,1,SCT,737,4,Wednesday,December,2024-12-04
AH,6006,ALG,AAE,2024-12-03,2024-12-03 19:40:00+00:00,DEPARTURE,1,SCT,AT7,19,Tuesday,December,2024-12-03
BA,2817,ALG,LGW,2024-12-04,2024-12-04 13:55:00+00:00,DEPARTURE,4,BST,320,13,Wednesday,December,2024-12-04
AH,1008,ALG,ORY,2024-12-03,2024-12-03 18:35:00+00:00,DEPARTURE,4,BST,738,18,Tuesday,December,2024-12-03
SF,1969,CZL,ALG,2024-12-04,2024-12-04 15:25:00+00:00,ARRIVAL,1,SCT,738,15,Wednesday,December,2024-12-04
AF,1854,CDG,ALG,2024-12-04,2024-12-04 13:20:00+00:00,ARRIVAL,4,SCT,320,13,Wednesday,December,2024-12-04
EK,0757,DXB,ALG,2024-12-04,2024-12-04 12:25:00+00:00,ARRIVAL,4,SCT,773,12,Wednesday,December,2024-12-04
V7,2439,ALG,BOD,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
AH,6185,ORN,ALG,2024-12-04,2024-12-04 00:45:00+00:00,ARRIVAL,1,DEL,AT7,0,Wednesday,December,2024-12-04
AH,4079,DOH,ALG,2024-12-03,2024-12-03 15:27:00+00:00,ARRIVAL,4,ONB,330,15,Tuesday,December,2024-12-03
AH,3018,ALG,IST,2024-12-04,2024-12-04 22:10:00+00:00,DEPARTURE,4,SCT,332,22,Wednesday,December,2024-12-04
AH,6038,ALG,BLJ,2024-12-04,2024-12-04 09:00:00+00:00,DEPARTURE,1,OFB,738,9,Wednesday,December,2024-12-04
AH,6148,ALG,CBH,2024-12-03,2024-12-03 22:00:00+00:00,DEPARTURE,1,OFB,736,22,Tuesday,December,2024-12-03
AH,6058,ALG,GJL,2024-12-04,2024-12-04 15:45:00+00:00,DEPARTURE,1,SCT,AT7,15,Wednesday,December,2024-12-04
SF,1979,BJA,ALG,2024-12-04,2024-12-04 13:10:00+00:00,ARRIVAL,1,SCT,DH4,13,Wednesday,December,2024-12-04
TO,7314,SXB,ALG,2024-12-04,2024-12-04 16:30:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
TO,7300,NTE,ALG,2024-12-03,2024-12-03 18:15:00+00:00,ARRIVAL,4,ONB,737,18,Tuesday,December,2024-12-03
AH,6106,ALG,ORN,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,738,22,Wednesday,December,2024-12-04
SF,1101,HME,ALG,2024-12-03,2024-12-03 16:38:00+00:00,ARRIVAL,1,ONB,738,16,Tuesday,December,2024-12-03
SF,1501,HRM,ALG,2024-12-04,2024-12-04 09:15:00+00:00,ARRIVAL,1,ONB,DH2,9,Wednesday,December,2024-12-04
AH,3016,ALG,IST,2024-12-04,2024-12-04 09:40:00+00:00,DEPARTURE,4,SCT,738,9,Wednesday,December,2024-12-04
AH,5010,ALG,DSS,2024-12-03,2024-12-03 20:10:00+00:00,DEPARTURE,4,SCT,738,20,Tuesday,December,2024-12-03
AH,6156,ALG,TMX,2024-12-04,2024-12-04 07:00:00+00:00,DEPARTURE,1,GCL,AT7,7,Wednesday,December,2024-12-04
SF,1120,ALG,HME,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
AH,5011,DSS,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,4,LAN,738,8,Wednesday,December,2024-12-04
VY,7991,MRS,ALG,2024-12-04,2024-12-04 10:14:00+00:00,ARRIVAL,4,ONB,320,10,Wednesday,December,2024-12-04
SF,1961,ORN,ALG,2024-12-04,2024-12-04 11:49:00+00:00,ARRIVAL,1,ONB,738,11,Wednesday,December,2024-12-04
AH,6026,ALG,CZL,2024-12-04,2024-12-04 19:30:00+00:00,DEPARTURE,1,SCT,738,19,Wednesday,December,2024-12-04
SV,343,JED,ALG,2024-12-03,2024-12-03 21:40:00+00:00,ARRIVAL,1,SCT,777,21,Tuesday,December,2024-12-03
QR,1380,ALG,DOH,2024-12-04,2024-12-04 15:45:00+00:00,DEPARTURE,4,SCT,330,15,Wednesday,December,2024-12-04
AH,6071,LOO,ALG,2024-12-04,2024-12-04 14:15:00+00:00,ARRIVAL,1,SCT,AT7,14,Wednesday,December,2024-12-04
TK,654,ALG,IST,2024-12-03,2024-12-03 17:35:00+00:00,DEPARTURE,4,OFB,321,17,Tuesday,December,2024-12-03
AH,1230,ALG,CDG,2024-12-05,2024-12-05 18:45:00+00:00,DEPARTURE,4,SCT,73H,18,Thursday,December,2024-12-05
AH,1216,ALG,ETZ,2024-12-04,2024-12-04 10:00:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
AH,484,ALG,JED,2024-12-03,2024-12-03 18:00:00+00:00,DEPARTURE,1,OFB,330,18,Tuesday,December,2024-12-03
AH,2015,BCN,ALG,2024-12-03,2024-12-03 19:50:00+00:00,ARRIVAL,4,ONB,737,19,Tuesday,December,2024-12-03
TO,7261,ALG,ORY,2024-12-04,2024-12-04 17:30:00+00:00,DEPARTURE,4,SCT,73H,17,Wednesday,December,2024-12-04
SF,1685,GHA,ALG,2024-12-04,2024-12-04 20:25:00+00:00,ARRIVAL,1,SCT,DH2,20,Wednesday,December,2024-12-04
AH,1230,ALG,CDG,2024-12-04,2024-12-04 18:45:00+00:00,DEPARTURE,4,SCT,738,18,Wednesday,December,2024-12-04
AH,1506,ALG,CDG,2024-12-03,2024-12-03 15:20:00+00:00,DEPARTURE,4,OFB,320,15,Tuesday,December,2024-12-03
AH,5318,ALG,ABJ,2024-12-04,2024-12-04 20:00:00+00:00,DEPARTURE,4,SCT,737,20,Wednesday,December,2024-12-04
SF,1684,ALG,GHA,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,1,SCT,DH2,12,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,738,12,Wednesday,December,2024-12-04
5O,756,ALG,MRS,2024-12-04,2024-12-04 18:10:00+00:00,DEPARTURE,4,SCT,AT7,18,Wednesday,December,2024-12-04
SV,340,ALG,JED,2024-12-04,2024-12-04 15:30:00+00:00,DEPARTURE,1,SCT,773,15,Wednesday,December,2024-12-04
AH,6100,ALG,ORN,2024-12-04,2024-12-04 08:55:00+00:00,DEPARTURE,1,OFB,AT7,8,Wednesday,December,2024-12-04
AH,2028,ALG,VIE,2024-12-04,2024-12-04 12:30:00+00:00,DEPARTURE,4,SCT,737,12,Wednesday,December,2024-12-04
TU,375,ALG,TUN,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,320,14,Wednesday,December,2024-12-04
AH,5349,DLA,ALG,2024-12-04,2024-12-04 06:43:00+00:00,ARRIVAL,4,ONB,738,6,Wednesday,December,2024-12-04
AH,6033,TEE,ALG,2024-12-04,2024-12-04 19:05:00+00:00,ARRIVAL,1,SCT,AT7,19,Wednesday,December,2024-12-04
AF,1355,ALG,CDG,2024-12-04,2024-12-04 06:05:00+00:00,DEPARTURE,4,SCT,320,6,Wednesday,December,2024-12-04
AH,4014,ALG,NKC,2024-12-04,2024-12-04 19:30:00+00:00,DEPARTURE,4,SCT,736,19,Wednesday,December,2024-12-04
AH,6161,TMX,ALG,2024-12-04,2024-12-04 03:00:00+00:00,ARRIVAL,1,SCT,736,3,Wednesday,December,2024-12-04
AH,1001,CDG,ALG,2024-12-04,2024-12-04 16:45:00+00:00,ARRIVAL,4,SCT,738,16,Wednesday,December,2024-12-04
AH,1045,TLS,ALG,2024-12-03,2024-12-03 20:40:00+00:00,ARRIVAL,4,SCT,736,20,Tuesday,December,2024-12-03
AH,5349,DLA,ALG,2024-12-04,2024-12-04 06:30:00+00:00,ARRIVAL,4,SCT,738,6,Wednesday,December,2024-12-04
AH,6254,ALG,ELU,2024-12-04,2024-12-04 08:05:00+00:00,DEPARTURE,1,SCT,736,8,Wednesday,December,2024-12-04
AH,3014,ALG,IST,2024-12-03,2024-12-03 19:05:00+00:00,DEPARTURE,4,SCT,320,19,Tuesday,December,2024-12-03
TO,7260,ORY,ALG,2024-12-04,2024-12-04 09:35:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
AH,1023,MRS,ALG,2024-12-04,2024-12-04 12:48:00+00:00,ARRIVAL,4,ONB,738,12,Wednesday,December,2024-12-04
AH,3015,IST,ALG,2024-12-04,2024-12-04 07:23:00+00:00,ARRIVAL,4,ONB,320,7,Wednesday,December,2024-12-04
AH,6235,TMR,ALG,2024-12-05,2024-12-05 03:55:00+00:00,ARRIVAL,1,SCT,73H,3,Thursday,December,2024-12-05
AH,6191,CZL,ALG,2024-12-04,2024-12-04 09:47:00+00:00,ARRIVAL,1,ONB,AT7,9,Wednesday,December,2024-12-04
AH,6041,BSK,ALG,2024-12-03,2024-12-03 18:40:00+00:00,ARRIVAL,1,DEL,738,18,Tuesday,December,2024-12-03
AH,6162,ALG,TMX,2024-12-04,2024-12-04 19:50:00+00:00,DEPARTURE,1,SCT,AT7,19,Wednesday,December,2024-12-04
AH,2700,ALG,YUL,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,332,10,Wednesday,December,2024-12-04
AH,2014,ALG,BCN,2024-12-04,2024-12-04 16:45:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
XY,661,JED,ALG,2024-12-04,2024-12-04 16:25:00+00:00,ARRIVAL,1,SCT,333,16,Wednesday,December,2024-12-04
TK,656,ALG,IST,2024-12-03,2024-12-03 23:55:00+00:00,DEPARTURE,4,SCT,737,23,Tuesday,December,2024-12-03
AH,4003,TUN,ALG,2024-12-03,2024-12-03 19:49:00+00:00,ARRIVAL,4,ONB,736,19,Tuesday,December,2024-12-03
AH,3016,ALG,IST,2024-12-04,2024-12-04 09:40:00+00:00,DEPARTURE,4,BST,738,9,Wednesday,December,2024-12-04
AH,6252,ALG,ELU,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,1,SCT,736,8,Wednesday,December,2024-12-04
AH,485,JED,ALG,2024-12-04,2024-12-04 06:13:00+00:00,ARRIVAL,1,ONB,330,6,Wednesday,December,2024-12-04
TO,7300,NTE,ALG,2024-12-03,2024-12-03 18:20:00+00:00,ARRIVAL,4,SCT,737,18,Tuesday,December,2024-12-03
SV,343,JED,ALG,2024-12-03,2024-12-03 21:15:00+00:00,ARRIVAL,1,ONB,777,21,Tuesday,December,2024-12-03
SF,1120,ALG,HME,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
SF,1120,ALG,HME,2024-12-04,2024-12-04 09:30:00+00:00,DEPARTURE,1,SCT,738,9,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,OFB,738,12,Wednesday,December,2024-12-04
AH,1009,ORY,ALG,2024-12-04,2024-12-04 09:46:00+00:00,ARRIVAL,4,ONB,738,9,Wednesday,December,2024-12-04
AH,5641,COO,ALG,2024-12-03,2024-12-03 19:34:00+00:00,ARRIVAL,0,ONB,738,19,Tuesday,December,2024-12-03
V7,2439,ALG,BOD,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,BST,320,10,Wednesday,December,2024-12-04
TK,651,IST,ALG,2024-12-04,2024-12-04 10:45:00+00:00,ARRIVAL,4,SCT,32R,10,Wednesday,December,2024-12-04
AF,1855,ALG,CDG,2024-12-04,2024-12-04 14:40:00+00:00,DEPARTURE,4,SCT,32A,14,Wednesday,December,2024-12-04
AH,1075,LIL,ALG,2024-12-04,2024-12-04 21:25:00+00:00,ARRIVAL,4,SCT,738,21,Wednesday,December,2024-12-04
AH,484,ALG,JED,2024-12-03,2024-12-03 18:00:00+00:00,DEPARTURE,1,OFB,330,18,Tuesday,December,2024-12-03
AH,6171,AAE,ALG,2024-12-04,2024-12-04 10:00:00+00:00,ARRIVAL,1,LAN,AT7,10,Wednesday,December,2024-12-04
AH,6238,GHA,ALG,2024-12-04,2024-12-04 04:15:00+00:00,ARRIVAL,1,ONB,738,4,Wednesday,December,2024-12-04
AH,2004,ALG,ALC,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,738,12,Wednesday,December,2024-12-04
AH,1021,MRS,ALG,2024-12-03,2024-12-03 17:18:00+00:00,ARRIVAL,4,ONB,738,17,Tuesday,December,2024-12-03
SF,1703,HME,ALG,2024-12-03,2024-12-03 19:29:00+00:00,ARRIVAL,1,ONB,DH4,19,Tuesday,December,2024-12-03
AH,2014,ALG,BCN,2024-12-04,2024-12-04 16:45:00+00:00,DEPARTURE,4,SCT,738,16,Wednesday,December,2024-12-04
V7,2438,BOD,ALG,2024-12-04,2024-12-04 08:43:00+00:00,ARRIVAL,4,ONB,320,8,Wednesday,December,2024-12-04
AH,6184,ALG,ORN,2024-12-03,2024-12-03 23:00:00+00:00,DEPARTURE,1,DEL,AT7,23,Tuesday,December,2024-12-03
AH,1021,MRS,ALG,2024-12-04,2024-12-04 17:30:00+00:00,ARRIVAL,4,SCT,738,17,Wednesday,December,2024-12-04
AH,4062,ALG,DXB,2024-12-03,2024-12-03 22:05:00+00:00,DEPARTURE,4,GCL,332,22,Tuesday,December,2024-12-03
AH,1021,MRS,ALG,2024-12-04,2024-12-04 17:30:00+00:00,ARRIVAL,4,SCT,738,17,Wednesday,December,2024-12-04
AH,3001,SVO,ALG,2024-12-04,2024-12-04 07:35:00+00:00,ARRIVAL,4,SCT,738,7,Wednesday,December,2024-12-04
AH,5318,ALG,ABJ,2024-12-04,2024-12-04 20:00:00+00:00,DEPARTURE,4,SCT,737,20,Wednesday,December,2024-12-04
AH,1217,ETZ,ALG,2024-12-03,2024-12-03 16:23:00+00:00,ARRIVAL,4,ONB,738,16,Tuesday,December,2024-12-03
AH,1191,BOD,ALG,2024-12-03,2024-12-03 19:19:00+00:00,ARRIVAL,4,ONB,738,19,Tuesday,December,2024-12-03
AH,1022,ALG,MRS,2024-12-04,2024-12-04 08:00:00+00:00,DEPARTURE,4,SCT,738,8,Wednesday,December,2024-12-04
AH,5324,ALG,NIM,2024-12-04,2024-12-04 20:35:00+00:00,DEPARTURE,4,SCT,736,20,Wednesday,December,2024-12-04
AH,5324,ALG,NIM,2024-12-04,2024-12-04 20:35:00+00:00,DEPARTURE,4,SCT,736,20,Wednesday,December,2024-12-04
AH,2701,YUL,ALG,2024-12-04,2024-12-04 04:15:00+00:00,ARRIVAL,4,SCT,332,4,Wednesday,December,2024-12-04
TK,656,ALG,IST,2024-12-03,2024-12-03 23:55:00+00:00,DEPARTURE,4,SCT,737,23,Tuesday,December,2024-12-03
AH,4001,TUN,ALG,2024-12-04,2024-12-04 10:31:00+00:00,ARRIVAL,4,ONB,737,10,Wednesday,December,2024-12-04
VY,7991,MRS,ALG,2024-12-04,2024-12-04 10:19:00+00:00,ARRIVAL,4,SCT,320,10,Wednesday,December,2024-12-04
AH,6196,ALG,CZL,2024-12-04,2024-12-04 11:20:00+00:00,DEPARTURE,1,SCT,AT7,11,Wednesday,December,2024-12-04
AH,6197,CZL,ALG,2024-12-04,2024-12-04 14:40:00+00:00,ARRIVAL,1,SCT,AT7,14,Wednesday,December,2024-12-04
AH,6217,OGX,ALG,2024-12-03,2024-12-03 19:05:00+00:00,ARRIVAL,1,DEL,AT7,19,Tuesday,December,2024-12-03
AH,2029,VIE,ALG,2024-12-04,2024-12-04 18:50:00+00:00,ARRIVAL,4,SCT,737,18,Wednesday,December,2024-12-04
AH,6292,ALG,DJG,2024-12-04,2024-12-04 22:30:00+00:00,DEPARTURE,1,SCT,737,22,Wednesday,December,2024-12-04
AH,6471,GHA,ALG,2024-12-03,2024-12-03 18:20:00+00:00,ARRIVAL,1,ONB,AT7,18,Tuesday,December,2024-12-03
AH,484,ALG,JED,2024-12-03,2024-12-03 18:00:00+00:00,DEPARTURE,1,DEL,330,18,Tuesday,December,2024-12-03
AH,6059,GJL,ALG,2024-12-05,2024-12-05 18:30:00+00:00,ARRIVAL,1,SCT,73H,18,Thursday,December,2024-12-05
AH,1075,LIL,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,320,18,Tuesday,December,2024-12-03
IB,929,MAD,ALG,2024-12-04,2024-12-04 18:05:00+00:00,ARRIVAL,4,SCT,320,18,Wednesday,December,2024-12-04
TO,7261,ALG,ORY,2024-12-04,2024-12-04 17:30:00+00:00,DEPARTURE,4,SCT,73H,17,Wednesday,December,2024-12-04
AH,4064,ALG,AMM,2024-12-04,2024-12-04 15:25:00+00:00,DEPARTURE,4,SCT,738,15,Wednesday,December,2024-12-04
AH,6238,ALG,TMR,2024-12-03,2024-12-03 22:00:00+00:00,DEPARTURE,1,SCT,738,22,Tuesday,December,2024-12-03
AH,6107,ORN,ALG,2024-12-04,2024-12-04 06:55:00+00:00,ARRIVAL,1,SCT,738,6,Wednesday,December,2024-12-04
AH,1004,ALG,ORY,2024-12-04,2024-12-04 12:00:00+00:00,DEPARTURE,4,SCT,330,12,Wednesday,December,2024-12-04
AH,3015,IST,ALG,2024-12-04,2024-12-04 07:23:00+00:00,ARRIVAL,4,ONB,320,7,Wednesday,December,2024-12-04
AF,1554,CDG,ALG,2024-12-04,2024-12-04 10:25:00+00:00,ARRIVAL,4,SCT,320,10,Wednesday,December,2024-12-04
V7,2439,ALG,BOD,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,320,10,Wednesday,December,2024-12-04
AH,1071,MPL,ALG,2024-12-03,2024-12-03 17:47:00+00:00,ARRIVAL,4,ONB,736,17,Tuesday,December,2024-12-03
AH,3014,ALG,IST,2024-12-04,2024-12-04 19:05:00+00:00,DEPARTURE,4,SCT,738,19,Wednesday,December,2024-12-04
AH,1075,LIL,ALG,2024-12-03,2024-12-03 18:11:00+00:00,ARRIVAL,4,ONB,320,18,Tuesday,December,2024-12-03
AH,6244,ALG,IAM,2024-12-03,2024-12-03 19:10:00+00:00,DEPARTURE,1,DEL,AT7,19,Tuesday,December,2024-12-03
SF,1908,ALG,HME,2024-12-04,2024-12-04 18:30:00+00:00,DEPARTURE,1,SCT,738,18,Wednesday,December,2024-12-04
IB,929,MAD,ALG,2024-12-04,2024-12-04 18:05:00+00:00,ARRIVAL,4,SCT,320,18,Wednesday,December,2024-12-04
VF,274,ALG,SAW,2024-12-04,2024-12-04 14:25:00+00:00,DEPARTURE,4,SCT,738,14,Wednesday,December,2024-12-04
MS,846,ALG,CAI,2024-12-05,2024-12-05 13:45:00+00:00,DEPARTURE,4,SCT,321,13,Thursday,December,2024-12-05
AH,2028,ALG,VIE,2024-12-04,2024-12-04 12:30:00+00:00,DEPARTURE,4,OFB,737,12,Wednesday,December,2024-12-04
AH,6227,HME,ALG,2024-12-04,2024-12-04 23:40:00+00:00,ARRIVAL,1,DEL,AT7,23,Wednesday,December,2024-12-04
AH,2028,ALG,VIE,2024-12-04,2024-12-04 12:30:00+00:00,DEPARTURE,4,OFB,737,12,Wednesday,December,2024-12-04
AH,6255,ELU,ALG,2024-12-04,2024-12-04 16:35:00+00:00,ARRIVAL,1,SCT,736,16,Wednesday,December,2024-12-04
AH,6238,ALG,TMR,2024-12-03,2024-12-03 22:00:00+00:00,DEPARTURE,1,SCT,738,22,Tuesday,December,2024-12-03
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:05:00+00:00,ARRIVAL,1,ONB,738,8,Wednesday,December,2024-12-04
AH,6186,ALG,ORN,2024-12-05,2024-12-05 20:20:00+00:00,DEPARTURE,1,SCT,AT7,20,Thursday,December,2024-12-05
SF,3000,ALG,CDG,2024-12-04,2024-12-04 17:00:00+00:00,DEPARTURE,4,SCT,738,17,Wednesday,December,2024-12-04
AH,6041,BSK,ALG,2024-12-03,2024-12-03 18:40:00+00:00,ARRIVAL,1,DEL,738,18,Tuesday,December,2024-12-03
TK,651,IST,ALG,2024-12-04,2024-12-04 10:25:00+00:00,ARRIVAL,4,SCT,738,10,Wednesday,December,2024-12-04
TO,7260,ORY,ALG,2024-12-04,2024-12-04 09:40:00+00:00,ARRIVAL,4,SCT,73H,9,Wednesday,December,2024-12-04
AH,5348,ALG,DLA,2024-12-03,2024-12-03 19:30:00+00:00,DEPARTURE,4,OFB,738,19,Tuesday,December,2024-12-03
TK,656,ALG,IST,2024-12-03,2024-12-03 23:55:00+00:00,DEPARTURE,4,SCT,737,23,Tuesday,December,2024-12-03
SF,1123,HME,ALG,2024-12-04,2024-12-04 14:40:00+00:00,ARRIVAL,1,SCT,738,14,Wednesday,December,2024-12-04
AH,3019,IST,ALG,2024-12-04,2024-12-04 07:50:00+00:00,ARRIVAL,4,DEL,332,7,Wednesday,December,2024-12-04
AH,6107,ORN,ALG,2024-12-04,2024-12-04 06:47:00+00:00,ARRIVAL,1,LAN,738,6,Wednesday,December,2024-12-04
AH,300,ALG,MED,2024-12-04,2024-12-04 21:20:00+00:00,DEPARTURE,1,SCT,330,21,Wednesday,December,2024-12-04
SV,343,JED,ALG,2024-12-03,2024-12-03 21:15:00+00:00,ARRIVAL,1,LAN,777,21,Tuesday,December,2024-12-03
AH,4000,ALG,TUN,2024-12-04,2024-12-04 07:10:00+00:00,DEPARTURE,4,SCT,737,7,Wednesday,December,2024-12-04
VY,7991,MRS,ALG,2024-12-04,2024-12-04 10:14:00+00:00,ARRIVAL,4,ONB,320,10,Wednesday,December,2024-12-04
SV,343,ALG,JED,2024-12-03,2024-12-03 23:40:00+00:00,DEPARTURE,1,SCT,777,23,Tuesday,December,2024-12-03
AH,5010,ALG,DSS,2024-12-03,2024-12-03 20:30:00+00:00,DEPARTURE,4,BST,738,20,Tuesday,December,2024-12-03
AH,2700,ALG,YUL,2024-12-04,2024-12-04 10:10:00+00:00,DEPARTURE,4,SCT,332,10,Wednesday,December,2024-12-04
QR,1380,ALG,DOH,2024-12-04,2024-12-04 15:45:00+00:00,DEPARTURE,4,SCT,359,15,Wednesday,December,2024-12-04
SF,1501,HRM,ALG,2024-12-04,2024-12-04 09:15:00+00:00,ARRIVAL,1,ONB,DH2,9,Wednesday,December,2024-12-04
SV,343,ALG,JED,2024-12-03,2024-12-03 23:40:00+00:00,DEPARTURE,1,SCT,777,23,Tuesday,December,2024-12-03
AH,6033,TEE,ALG,2024-12-04,2024-12-04 19:05:00+00:00,ARRIVAL,1,SCT,AT7,19,Wednesday,December,2024-12-04
5O,271,CDG,ALG,2024-12-04,2024-12-04 16:25:00+00:00,ARRIVAL,4,SCT,73H,16,Wednesday,December,2024-12-04
SV,343,JED,ALG,2024-12-03,2024-12-03 21:40:00+00:00,ARRIVAL,1,SCT,777,21,Tuesday,December,2024-12-03
AH,1231,CDG,ALG,2024-12-04,2024-12-04 10:15:00+00:00,ARRIVAL,4,SCT,738,10,Wednesday,December,2024-12-04
AH,6107,ORN,ALG,2024-12-04,2024-12-04 06:47:00+00:00,ARRIVAL,1,LAN,738,6,Wednesday,December,2024-12-04
MS,846,ALG,CAI,2024-12-04,2024-12-04 13:45:00+00:00,DEPARTURE,4,SCT,737,13,Wednesday,December,2024-12-04
AH,6006,ALG,AAE,2024-12-03,2024-12-03 19:40:00+00:00,DEPARTURE,1,BST,AT7,19,Tuesday,December,2024-12-03
SF,1919,HME,ALG,2024-12-04,2024-12-04 09:15:00+00:00,ARRIVAL,1,SCT,738,9,Wednesday,December,2024-12-04
SF,1803,HME,ALG,2024-12-04,2024-12-04 08:30:00+00:00,ARRIVAL,1,SCT,738,8,Wednesday,December,2024-12-04
AH,1172,ALG,MLH,2024-12-04,2024-12-04 11:30:00+00:00,DEPARTURE,4,SCT,738,11,Wednesday,December,2024-12-04
V7,2438,BOD,ALG,2024-12-04,2024-12-04 08:43:00+00:00,ARRIVAL,4,ONB,320,8,Wednesday,December,2024-12-04
EK,0758,ALG,DXB,2024-12-04,2024-12-04 15:40:00+00:00,DEPARTURE,4,SCT,773,15,Wednesday,December,2024-12-04
AH,6038,ALG,BLJ,2024-12-04,2024-12-04 08:25:00+00:00,DEPARTURE,1,SCT,738,8,Wednesday,December,2024-12-04
SF,1321,IAM,ALG,2024-12-04,2024-12-04 17:00:00+00:00,ARRIVAL,1,SCT,738,17,Wednesday,December,2024-12-04
AH,2070,ALG,FRA,2024-12-04,2024-12-04 10:35:00+00:00,DEPARTURE,4,OFB,736,10,Wednesday,December,2024-12-04
